Manufacturer,Name,Variant,Model Id,Performance Rating,Categories,Drive Layout,Engine Layout,Engine,Body,Racing Class,Year,Power PS/KW,Torque NM,Displacement L,Cylinders,Weight KG,Max Speed KMH,0-100 KMH,Gears,Fuel Tank L,Battery KWH,Max RPM
Abarth,695 Biposto,,preset_695b_mech_1,10.2,Road:Modern:ICE,FWD,Front,Turbo Charged,Hatch Back,,2015,190,250,1.4,4,997,230,5.9,5,35,,
Alpha Romeo,75 Turbo Evoluzione,,preset_75t_mech_1,8,Road:Vintage:ICE,RWD,Front,Turbo Charged,Saloon,,1987,155,226,1.8,4,1150,225,7.6,5,49,,
Alpha Romeo,Giulia GT Am,,preset_gtam_mech_1,12.8,Road:Modern:ICE,RWD,Front,Turbo Charged,Coupe,,2021,540,600,2.5,6,1580,300,3.4,8,58,,
Alpha Romeo,Giulia Sprint GTA,,preset_sprintgta_mech_1,7.7,Road:Vintage:ICE,RWD,Front,Naturally Aspirated,Coupe,Rally,1965,170,180,1.5,4,760,220,8,5,58,,
Alpha Romeo,Junior,,preset_mln_mech_1,10.5,Road:Modern:EV,FWD,Front,Electric Motor,SUV,,2024,207,345,,,1560,200,5.9,,,54,
Alpine,A110 S Aero Kit,,preset_a110s_mech_1,12,Road:Modern:ICE,RWD,Mid,Turbo Charged,Coupe,,2021,300,340,1.8,4,1110,275,4.1,7,45,,
Alpine,A290 Beta,,preset_a290b_mech_1,9.8,Road:Modern:EV,AWD,Mid,Electric Motor,Hatch Back,,2023,220,300,,,1479,170,6.4,,,52,
Audi,R8 LMS GT3 Evo II,,preset_r8gt3_mech_1,20.5,Racing:Modern:ICE,RWD,Mid,Naturally Aspirated,Coupe,GT3,2022,550,600,5.2,10,1400,300,3,6,120,,
Audi,R8 LMS GT4 Evo,,preset_r8gt4_mech_1,15.5,Racing:Modern:ICE,RWD,Mid,Naturally Aspirated,Coupe,GT4,2022,495,550,5.2,10,1460,280,3.5,6,120,,
Audi,R8 LMS GT2,,preset_r8gt2_mech_1,17.9,Racing:Modern:ICE,RWD,Mid,Naturally Aspirated,Coupe,GT2,2022,640,550,5.2,10,1350,300,2.5,6,120,,
Audi,R8 V10 Performance Quattro,,preset_r8v10_mech_1,13.5,Road:Modern:ICE,AWD,Mid,Naturally Aspirated,Coupe,,2021,620,580,5.2,10,1670,330,3.1,7,83,,
Audi,RS 3 Sportback,,preset_rs3_mech_1,12.2,Road:Modern:ICE,AWD,Front,Turbo Charged,Hatch Back,,2022,400,500,2.5,5,1570,250,3.8,7,55,,
Audi,RS 6 Avant,,preset_rs6_mech_1,12.2,Road:Modern:ICE,AWD,Front,Turbo Charged,Estate,,2022,600,800,4,8,2075,250,3.6,8,73,,
Audi,Sport Quattro,,preset_sq_mech_1,10.7,Road:Vintage:ICE,AWD,Front,Turbo Charged,Coupe,,1983,306,350,2.1,5,1300,250,4.9,5,90,,
