Manufacturer,Name,VehicleClass,PowerKw,TorqueNm,WeightKg,EngineDisplacementLitres,EngineType,EngineLayout,PowertrainLayout,Transmission,FuelCapacityLitres,Year,GameId
AMC,Javelin,Historic USV8,335,500,1407,5,V8,Front Engine,RWD,4-Speed Manual,,1971,ID_AMC_Javelin_Trans_Am_1971
Acura,ARX-06,LMDh,499,688,1030,2.4,V6 Twin Turbo,Mid Engine,RWD,7-Speed Paddle,,2023,ID_Acura_ARX-06_2023
Acura,NSX GT3 Evo 22,GT3,387,640,1290,3.5,V6 Twin Turbo,Mid Engine,RWD,6-Speed Paddle,90.60,2022,ID_HONDA_NSX_GT3
Alpine,A110 GT4,GT4,268,488,1160,1.8,L4 Turbo,Mid Engine,RWD,6-Speed Paddle,95.00,2020,ID_Alpine_A110_GT4_2020
Alpine,A424 Beta,LMDh,499,670,1030,3.4,V6 Twin Turbo,Mid Engine,RWD,7-Speed Paddle,,2024,ID_Alpine_A424_2024
Aston Martin,AMR Vantage GT3,GT3,378,690,1325,4,V8 Twin Turbo,Front Engine,RWD,6-Speed Paddle,90.60,2024,ID_Aston_Martin_Vantage_GT3_Evo
Aston Martin,AMR Vantage GT3 2022,GT3,378,690,1325,4,V8 Twin Turbo,Front Engine,RWD,6-Speed Paddle,90.60,2022,ID_Aston_Martin_Vantage_GT3
Aston Martin,AMR Vantage GT4,GT4,354,690,1400,4,V8 Twin Turbo,Front Engine,RWD,6-Speed Paddle,120.00,2020,ID_Aston_Martin_Vantage_AMR_GT4
Aston Martin,AMR Vantage Gte,GTE,399,700,1245,4,V8 Twin Turbo,Front Engine,RWD,6-Speed Paddle,,2020,ID_Aston_Martin_Vantage_GTE_2020
Aston Martin,DBR9,GT,466,700,1170,6,V12,Front Engine,RWD,6-Speed Sequential,75.50,2005,ID_Aston_Martin_DBR9_2005
Aston Martin,Valkyrie Hypercar,LMDh,507,750,1030,6.5,V12,Mid Engine,RWD,7-Speed Paddle,110.00,2025,ID_Aston_Martin_Valkyrie_LMH_2025
